0
"PORK,CURED,SHLDR,ARM PICNIC,LN,RSTD",109.2,0.0,2.36,24.94,0.0,1
"CHICKEN,GIZZARD,ALL CLASSES,RAW",72.756,0.0,0.529,17.66,0.0,1
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED",347.18,2.7,0.155,10.33,76.31,1
"BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0 FAT,ALL GR,RAW",100.496,0.0,6.154,18.97,0.0,1
"WENDY'S,CLASSIC SINGLE HAMBURGER,W/ CHS",137.044,1.4,5.191,14.87,14.2,1
"BEEF,CHUCK,ARM POT RST,LN&FAT,1/8FAT,ALL GRDS,CKD,BRSD",150.96,0.0,7.62,30.12,0.0,1
"COD,ATLANTIC,CND,SOL&LIQ",91.70800000000001,0.0,0.167,22.76,0.0,1
"PUDDINGS,CHOC,DRY MIX,INST",364.1,3.6,0.825,2.3,87.9,1
"SYRUPS,CORN,HIGH-FRUCTOSE",304.0,0.0,0.0,0.0,76.0,1
"SCHOOL LUNCH,PIZZA,CHS TOPPING,THIN CRUST,WHL GRAIN,FRZ,CKD",192.12,4.0,4.0,12.72,31.31,1
"TURKEY,ALL CLASSES,BREAST,MEAT&SKN,CKD,RSTD",123.24000000000001,0.0,2.1,28.71,0.0,1
"RAISINS,SEEDLESS",329.232,3.7,0.058,3.07,79.18,1
"CORNMEAL,YEL (NAVAJO)",335.172,9.4,1.043,9.85,72.9,1
"MORNINGSTAR FARMS GRILLERS BRGR STYL RECIPE CRMBL,FRZ,UNPREP",109.2,5.6,0.5,18.5,8.3,1
"TOFU YOGURT",78.876,0.2,0.259,3.5,15.96,1
"CHESTNUTS,EUROPEAN,RSTD",226.17600000000002,5.1,0.414,3.17,52.96,1
"KELLOGG'S,EGGO,WAFFLERS,STRAWBERRY STRUDEL",230.8,1.2,2.7,5.0,50.0,1
"SALAMI  CKD  BF",97.46000000000001,0.0,9.865,12.6,1.9,1
"YARDLONG BEAN,CKD,BLD,DRND,WO/SALT",46.943999999999996,0.0,0.026,2.53,9.18,1
"KFC,FRIED CHICK,EX CRISPY,BREAST,MEAT & SKN W/ BREADING",132.992,0.0,3.538,21.24,8.47,1
"KELLOGG'S,CORN FLAKES CRUMBS",368.0,1.2,0.1,7.5,84.4,1
"BEVERAGES,TEA,BLACK,READY TO DRK",0.0,0.0,0.0,0.0,0.0,1
"SALAD DRSNG,CAESAR,LO CAL",78.412,0.1,0.703,0.3,18.6,1
"BEEF,PLATE STEK,BNLS,INSDE SKRT,LN & FAT,0 FAT,ALL GRDS,RW",100.024,0.0,4.626,20.38,0.0,1
"SESAME SEEDS,WHL,RSTD&TSTD",197.68800000000002,14.0,6.722,16.96,25.74,1
"FROZEN YOGURTS,FLAVORS OTHER THAN CHOC",107.70400000000001,0.0,2.326,3.0,21.6,1
"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",354.5559999999999,0.0,0.499,36.16,51.98,1
"BEEF,RIB,BACK RIBS,BONE-IN,LN & FAT,0 FAT,SEL,CKD,BRSD",149.528,0.0,11.822,25.56,0.0,1
"SAUSAGE,VIENNA,CND,CHICK,BF,PORK",80.9,0.0,7.125,10.5,2.6,1
"MCDONALD'S,LOFAT CARAMEL SAU",300.76800000000003,0.0,1.772,1.89,71.53,1
